campaign_id,campaign_name,channel,status,start_date,end_date,budget,impressions,clicks,conversions,ctr,conversion_rate,cost_per_click,roi
CAMP-040,Q4 Enterprise Outreach,Webinar,Draft,2024-06-05,2024-06-13,1410.46,30292,125,245,0.41,196.0,11.28,3.13
CAMP-041,Tech Innovation Showcase,Webinar,Paused,2024-03-21,2024-05-07,1082.86,22093,529,10,2.39,1.89,2.05,2.7
CAMP-042,Valentine's Day Offer,Email,Draft,2024-01-30,2024-03-09,2259.16,20752,1669,109,8.04,6.53,1.35,2.58
CAMP-043,Black Friday Sale,Social Media,Active,2024-02-01,2024-03-09,2956.93,32503,670,124,2.06,18.51,4.41,3.12
CAMP-044,Black Friday Sale,Social Media,Active,2024-03-02,2024-04-17,5733.18,29032,480,95,1.65,19.79,11.94,2.0
CAMP-045,Holiday Shopping Spree,Facebook Ads,Paused,2024-04-27,2024-07-17,4481.82,32571,293,204,0.9,69.62,15.3,2.04
CAMP-046,Customer Retention Program,LinkedIn,Paused,2024-02-21,2024-04-22,1426.94,10839,580,8,5.35,1.38,2.46,1.66
CAMP-047,Q4 Enterprise Outreach,Social Media,Completed,2024-02-22,2024-04-29,4819.72,20476,1627,57,7.95,3.5,2.96,3.93
CAMP-048,Holiday Shopping Spree,Social Media,Draft,2024-01-03,2024-03-28,5087.78,42882,2193,113,5.11,5.15,2.32,1.97
CAMP-049,Holiday Shopping Spree,Webinar,Active,2024-03-12,2024-05-19,509.99,47691,2080,90,4.36,4.33,0.25,3.95
CAMP-050,Summer Social Media Blitz,Direct Mail,Completed,2024-05-12,2024-08-05,751.1,55166,4142,335,7.51,8.09,0.18,1.5
